Reactions	Rules
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN_reverse	rule0002
11-CIS-RETINYL-PALMITATE-HYDROLASE-RXN	rule0006
11-CIS-RETINYL-PALMITATE-HYDROLASE-RXN_reverse	rule0007
12-ALPHA-L-FUCOSIDASE-RXN	rule0006
12-ALPHA-L-FUCOSIDASE-RXN_reverse	rule0007
12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	rule0003
12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN_reverse	rule0002
12-OXOPHYTODIENOATE-REDUCTASE-RXN	rule0027
12-OXOPHYTODIENOATE-REDUCTASE-RXN_reverse	rule0018
13-PROPANEDIOL-DEHYDROGENASE-RXN	rule0003
13-PROPANEDIOL-DEHYDROGENASE-RXN_reverse	rule0002
15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN	rule0027
15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN_reverse	rule0018
1PFRUCTPHOSN-RXN	rule0014
1PFRUCTPHOSN-RXN_reverse	rule0015
1TRANSKETO-RXN	rule0204
1TRANSKETO-RXN_reverse	rule0204
2-ACETOLACTATE-MUTASE-RXN	rule0449
2-ACETOLACTATE-MUTASE-RXN_reverse	rule0449
2-ACYL2.3.1.15-RXN	rule0021
2-ACYL2.3.1.15-RXN_reverse	rule0022
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	rule0021
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN_reverse	rule0022
2-ALKYN-1-OL-DEHYDROGENASE-RXN	rule0003
2-ALKYN-1-OL-DEHYDROGENASE-RXN_reverse	rule0002
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	rule0030
2-AMINOADIPATE-AMINOTRANSFERASE-RXN_reverse	rule0031
2-AMINOHEXANOATE-AMINOTRANSFERASE-RXN	rule0031
2-AMINOHEXANOATE-AMINOTRANSFERASE-RXN_reverse	rule0030
2-AMINOMUCONATE-REDUCTASE-RXN	rule0027
2-AMINOMUCONATE-REDUCTASE-RXN_reverse	rule0018
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN	rule0017
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN_reverse	rule0016
2-DEHYDROPANTOATE-REDUCT-RXN	rule0003
2-DEHYDROPANTOATE-REDUCT-RXN_reverse	rule0002
2-DEOXYGLUCOSIDASE-RXN	rule0007
2-DEOXYGLUCOSIDASE-RXN_reverse	rule0006
2-ENOATE-REDUCTASE-RXN	rule0027
2-ENOATE-REDUCTASE-RXN_reverse	rule0018
2-ETHYLMALATE-SYNTHASE-RXN	rule0136
2-ETHYLMALATE-SYNTHASE-RXN_reverse	rule0137
2-FUROATE--COA-LIGASE-RXN	rule0038
2-FUROATE--COA-LIGASE-RXN_reverse	rule0039
2-HEXADECENAL-REDUCTASE-RXN	rule0027
2-HEXADECENAL-REDUCTASE-RXN_reverse	rule0018
2-HYDROXY-3-OXOADIPATE-SYNTHASE-RXN	rule0273
2-HYDROXY-3-OXOADIPATE-SYNTHASE-RXN_reverse	rule0274
2-HYDROXYBIPHENYL-3-MONOOXYGENASE-RXN	rule0005
2-HYDROXYBIPHENYL-3-MONOOXYGENASE-RXN_reverse	rule0004
2-ISOPROPYLMALATESYN-RXN	rule0136
2-ISOPROPYLMALATESYN-RXN_reverse	rule0137
2-KETO-ADIPATE-DEHYDROG-RXN	rule0269
2-KETO-ADIPATE-DEHYDROG-RXN_reverse	rule0270
